,Date,Predicted Confirmed,Actual Confirmed,Absolute Error,% of incorrect prediction,Accuracy
0,2021-04-26,653655.8,670201,16545.1875,2.468690363040342,97.53130963695966
1,2021-04-27,653655.8,687751,34095.1875,4.957490065445198,95.0425099345548
2,2021-04-28,653655.8,710347,56691.1875,7.980773833070316,92.01922616692968
3,2021-04-29,653655.8,729984,76328.1875,10.456145271677189,89.54385472832281
4,2021-04-30,653655.8,756740,103084.1875,13.622140695615403,86.3778593043846
5,2021-05-01,653655.8,776093,122437.1875,15.77609738781306,84.22390261218695
6,2021-05-02,653655.8,797292,143636.1875,18.015505925056317,81.98449407494368
