,Date,Actual Confirmed,Predicted Confirmed,Absolute Error,Min Predicted Confirmed,Max Predicted Confirmed,Accuracy,% of incorrect prediction
0,2021-04-26,314074,312275,1799,296986,327563,99.42720505358609,0.5727949464139025
1,2021-04-27,318614,315813,2801,300524,331101,99.12087981068001,0.8791201893199923
2,2021-04-28,323452,319352,4100,304063,334640,98.73242397635507,1.2675760236449303
3,2021-04-29,328520,322890,5630,307601,338178,98.28625350054791,1.7137464994520881
4,2021-04-30,333804,326429,7375,311140,341717,97.79061964506117,2.2093803549388262
5,2021-05-01,339797,329967,9830,314678,345255,97.1070962957295,2.892903704270491
6,2021-05-02,345966,333506,12460,318217,348794,96.39849002503136,3.6015099749686383
