,Date,Actual Confirmed,Predicted Confirmed,Absolute Error,Accuracy,% of incorrect prediction
0,2021-04-26,1047916,502045,545871,47.908897278026096,52.091102721973904
1,2021-04-27,1072065,510524,561541,47.620620018375746,52.379379981624254
2,2021-04-28,1098051,498594,599457,45.407180540794556,54.592819459205444
3,2021-04-29,1122286,502037,620249,44.73342802102138,55.26657197897862
4,2021-04-30,1149333,507053,642280,44.117153166227716,55.882846833772284
5,2021-05-01,1174552,513102,661450,43.68491135343518,56.31508864656482
6,2021-05-02,1194946,508526,686420,42.556400038160724,57.443599961839276
