,Date,Actual Confirmed,Predicted Confirmed,Absolute Error,Accuracy,% of incorrect prediction
0,2021-04-26,132074,99745,32329,75.52205581719339,24.477944182806606
1,2021-04-27,134966,100119,34847,74.1809048204733,25.8190951795267
2,2021-04-28,138176,99045,39131,71.68032075034738,28.31967924965262
3,2021-04-29,142116,100967,41149,71.04548397084072,28.954516029159276
4,2021-04-30,145651,99964,45687,68.63255315789112,31.367446842108876
5,2021-05-01,148762,101070,47692,67.94073755394523,32.059262446054774
6,2021-05-02,152186,100669,51517,66.1486601921333,33.85133980786669
