,Date,Predicted Confirmed,Actual Confirmed,Absolute Error,% of incorrect prediction,Accuracy
0,2021-04-26,129801.98,132074,2272.0234375,1.72026548563684,98.27973451436316
1,2021-04-27,129801.98,134966,5164.0234375,3.826166173332543,96.17383382666746
2,2021-04-28,129801.98,138176,8374.0234375,6.060403715189324,93.93959628481068
3,2021-04-29,129801.98,142116,12314.0234375,8.664769229010103,91.3352307709899
4,2021-04-30,129801.98,145651,15849.0234375,10.881506778188959,89.11849322181104
5,2021-05-01,129801.98,148762,18960.0234375,12.745206059007005,87.254793940993
6,2021-05-02,129801.98,152186,22384.0234375,14.708332854204723,85.29166714579527
