,Date,Actual Confirmed,Predicted Confirmed,Absolute Error,Accuracy,% of incorrect prediction
0,2021-04-26,314074,223553,90521,71.17844839114349,28.82155160885651
1,2021-04-27,318614,225562,93052,70.79475478164801,29.205245218351987
2,2021-04-28,323452,220738,102714,68.24443812374015,31.755561876259847
3,2021-04-29,328520,222298,106222,67.66650432241568,32.33349567758432
4,2021-04-30,333804,224351,109453,67.21039891672957,32.78960108327042
5,2021-05-01,339797,223961,115836,65.91023464009393,34.08976535990606
6,2021-05-02,345966,222286,123680,64.25082233514277,35.74917766485724
