,Date,Actual Confirmed,Predicted Confirmed,Min Predicted Confirmed,Max Predicted Confirmed,Absolute Error,Accuracy,% of incorrect prediction
0,2021-04-26,20201,22979,7234,38723,2778,86.24820553437948,13.751794465620515
1,2021-04-27,24149,22106,6361,37850,2043,91.54002236117438,8.459977638825626
2,2021-04-28,25986,21267,5522,37011,4719,81.84022165781575,18.159778342184254
3,2021-04-29,24235,20459,4714,36203,3776,84.41922838869404,15.580771611305963
4,2021-04-30,27047,19682,3937,35426,7365,72.76962324841942,27.230376751580582
5,2021-05-01,25219,18935,3190,34679,6284,75.08227923391094,24.91772076608906
6,2021-05-02,20394,18216,2471,33960,2178,89.32038834951457,10.679611650485436
