,Date,Predicted Confirmed,Actual Confirmed,Absolute Error,% of incorrect prediction,Accuracy
0,2021-04-26,309898.9,314074,4175.09375,1.3293344084515113,98.67066559154848
1,2021-04-27,309898.9,318614,8715.09375,2.7353141261840346,97.26468587381596
2,2021-04-28,309898.9,323452,13553.09375,4.1901406545638915,95.80985934543611
3,2021-04-29,309898.9,328520,18621.09375,5.668176595032266,94.33182340496774
4,2021-04-30,309898.9,333804,23905.09375,7.161416205318091,92.83858379468191
5,2021-05-01,309898.9,339797,29898.09375,8.798810392675627,91.20118960732438
6,2021-05-02,309898.9,345966,36067.09375,10.42503996057416,89.57496003942583
