,Date,Actual Confirmed,Predicted Confirmed,Absolute Error,Min Predicted Confirmed,Max Predicted Confirmed,Accuracy,% of incorrect prediction
0,2021-04-26,132074,132076,2,122455,141696,99.99848569741205,0.0015143025879431227
1,2021-04-27,134966,134303,663,124682,143923,99.50876517048738,0.491234829512618
2,2021-04-28,138176,136530,1646,126909,146150,98.80876563223715,1.1912343677628532
3,2021-04-29,142116,138757,3359,129136,148377,97.63643783951139,2.3635621604886152
4,2021-04-30,145651,140984,4667,131363,150604,96.79576521960027,3.204234780399723
5,2021-05-01,148762,143210,5552,133589,152830,96.2678641050806,3.7321358949194012
6,2021-05-02,152186,145437,6749,135816,155057,95.56529509941781,4.434704900582182
