,Date,Actual Confirmed,Predicted Confirmed,Min Predicted Confirmed,Max Predicted Confirmed,Absolute Error,Accuracy,% of incorrect prediction
0,2021-04-26,4175,4327,1802,6851,152,96.35928143712574,3.6407185628742518
1,2021-04-27,4540,4305,1780,6829,235,94.8237885462555,5.176211453744493
2,2021-04-28,4838,4284,1759,6808,554,88.5489871847871,11.451012815212898
3,2021-04-29,5068,4262,1737,6786,806,84.09629044988161,15.90370955011839
4,2021-04-30,5284,4241,1716,6765,1043,80.26116578349736,19.73883421650265
5,2021-05-01,5993,4220,1695,6744,1773,70.41548473218755,29.58451526781245
6,2021-05-02,6169,4199,1674,6723,1970,68.06613713729939,31.9338628627006
