,Date,Actual Confirmed,Predicted Confirmed,Absolute Error,Accuracy,% of incorrect prediction
0,2021-04-26,670201,406652,263549,60.676125520552795,39.32387447944721
1,2021-04-27,687751,409294,278457,59.51194545700407,40.48805454299594
2,2021-04-28,710347,414288,296059,58.321918724229135,41.67808127577086
3,2021-04-29,729984,405646,324338,55.569163159740484,44.430836840259516
4,2021-04-30,756740,414035,342705,54.71297935882866,45.28702064117134
5,2021-05-01,776093,408852,367241,52.68079985259499,47.31920014740501
6,2021-05-02,797292,410926,386366,51.54021362311424,48.45978637688576
