,Date,Predicted Confirmed,Actual Confirmed,Absolute Error,% of incorrect prediction,Accuracy
0,2021-04-26,1027714.8,1047916,20201.1875,1.9277487413113266,98.07225125868867
1,2021-04-27,1027714.8,1072065,44350.1875,4.136893518583295,95.86310648141671
2,2021-04-28,1027714.8,1098051,70336.1875,6.405548330633095,93.5944516693669
3,2021-04-29,1027714.8,1122286,94571.1875,8.426656618722857,91.57334338127714
4,2021-04-30,1027714.8,1149333,121618.1875,10.581631911726193,89.41836808827381
5,2021-05-01,1027714.8,1174552,146837.1875,12.501548462733025,87.49845153726697
6,2021-05-02,1027714.8,1194946,167231.1875,13.994874036148913,86.00512596385109
