,Date,Actual Confirmed,Predicted Confirmed,Absolute Error,Accuracy,% of incorrect prediction
0,2021-04-26,631484,266298,365186,42.17018958516764,57.82981041483236
1,2021-04-27,635483,266913,368570,42.00159563670468,57.99840436329532
2,2021-04-28,640409,270778,369631,42.282041632769065,57.717958367230935
3,2021-04-29,644583,269863,374720,41.86629185070038,58.13370814929962
4,2021-04-30,648471,262112,386359,40.420003361754034,59.579996638245966
5,2021-05-01,652368,263034,389334,40.319880803472884,59.680119196527116
6,2021-05-02,655997,263812,392185,40.215427814456476,59.784572185543524
