,Date,Predicted Confirmed,Actual Confirmed,Absolute Error,% of incorrect prediction,Accuracy
0,2021-04-26,627643.8,631484,3840.1875,0.6081211083732921,99.3918788916267
1,2021-04-27,627643.8,635483,7839.1875,1.2335794191190008,98.766420580881
2,2021-04-28,627643.8,640409,12765.1875,1.993286712085558,98.00671328791444
3,2021-04-29,627643.8,644583,16939.1875,2.627929607203417,97.37207039279659
4,2021-04-30,627643.8,648471,20827.1875,3.2117376875758517,96.78826231242415
5,2021-05-01,627643.8,652368,24724.1875,3.789914204865965,96.21008579513403
6,2021-05-02,627643.8,655997,28353.1875,4.322152006792714,95.67784799320728
