,Date,Actual Confirmed,Predicted Confirmed,Absolute Error,Min Predicted Confirmed,Max Predicted Confirmed,Accuracy,% of incorrect prediction
0,2021-04-26,631484,640267,8783,604795,675738,98.60914924210273,1.3908507578972706
1,2021-04-27,635483,648477,12994,613005,683948,97.95525608080783,2.0447439191921735
2,2021-04-28,640409,656687,16278,621215,692158,97.45818687744863,2.5418131225513694
3,2021-04-29,644583,664897,20314,629425,700368,96.84850515759801,3.151494842401987
4,2021-04-30,648471,673107,24636,637635,708578,96.2009095240959,3.7990904759040887
5,2021-05-01,652368,681317,28949,645845,716788,95.56247394108847,4.437526058911534
6,2021-05-02,655997,689527,33530,654055,724998,94.8886961373299,5.111303862670104
