,Date,Actual Confirmed,Predicted Confirmed,Min Predicted Confirmed,Max Predicted Confirmed,Absolute Error,Accuracy,% of incorrect prediction
0,2021-04-26,2272,2021,943,3098,251,88.9524647887324,11.047535211267606
1,2021-04-27,2892,2010,932,3087,882,69.50207468879668,30.49792531120332
2,2021-04-28,3210,2000,922,3077,1210,62.30529595015577,37.69470404984423
3,2021-04-29,3940,1990,912,3067,1950,50.50761421319797,49.49238578680203
4,2021-04-30,3535,1981,903,3058,1554,56.03960396039604,43.960396039603964
5,2021-05-01,3111,1971,893,3048,1140,63.35583413693347,36.64416586306653
6,2021-05-02,3424,1961,883,3038,1463,57.272196261682254,42.72780373831775
